#3;29;DistancebetweenBalls no compensation;;0.0000;0.0000;0.0000;0.0000;
#103;65;endwheelplanepoints ;1;39.2595;100.8094;134.9999;;0.0000
#104;65;endwheelplanepoints ;1;39.2606;101.0647;130.3573;;0.0000
#105;65;endwheelplanepoints ;1;45.9116;101.0440;130.3582;;0.0000
144;1;endwheelinnercylinder ;1;32.0396;149.7629;139.4838;;0.0000
145;1;endwheelinnercylinder ;1;32.0389;148.1126;132.8163;;0.0000
146;1;endwheelinnercylinder ;1;31.1500;139.3547;122.3375;;0.0000
147;1;endwheelinnercylinder ;1;30.8308;133.4858;119.4983;;0.0000
148;1;endwheelinnercylinder ;1;32.1266;128.4738;118.5770;;0.0000
149;1;endwheelinnercylinder ;1;31.7109;104.3227;139.1379;;0.0000
155;4;northendwheeloutercylinder ;1;56.9172;157.3228;137.0773;;0.0000
156;4;northendwheeloutercylinder ;1;56.0358;153.2220;125.2748;;0.0000
157;4;northendwheeloutercylinder ;1;57.4806;137.4512;112.5180;;0.0000
158;4;northendwheeloutercylinder ;1;57.2178;126.7024;110.7620;;0.0000
159;4;northendwheeloutercylinder ;1;51.3502;127.6400;110.7706;;0.0000
160;4;northendwheeloutercylinder ;1;51.3495;131.8750;111.1336;;0.0000
161;4;northendwheeloutercylinder ;1;59.0852;113.5186;113.8049;;0.0000
162;4;northendwheeloutercylinder ;1;59.2879;106.7029;118.1586;;0.0000
163;4;northendwheeloutercylinder ;1;58.3529;99.8524;126.9891;;0.0000
164;4;northendwheeloutercylinder ;1;59.0846;98.2056;130.8139;;0.0000
165;4;northendwheeloutercylinder ;1;54.5246;99.7299;127.2494;;0.0000
166;4;northendwheeloutercylinder ;1;56.6997;110.4254;115.4759;;0.0000
#178;82;northendwheelinnerrim ;1;33.5514;152.4877;139.4360;;0.0000
#179;82;northendwheelinnerrim ;1;33.5427;149.5731;134.0230;;0.0000
#180;82;northendwheelinnerrim ;1;33.5273;146.2259;127.4755;;0.0000
#181;82;northendwheelinnerrim ;1;33.5125;140.0045;120.7121;;0.0000
#182;82;northendwheelinnerrim ;1;33.5037;135.1295;118.4461;;0.0000
#183;82;northendwheelinnerrim ;1;33.4879;127.9872;117.3793;;0.0000
#184;82;northendwheelinnerrim ;1;33.4710;117.6666;119.1246;;0.0000
#185;82;northendwheelinnerrim ;1;33.4531;104.5294;134.5463;;0.0000
